Algorithm,Size,Total bytes,Total time[us],Tests,Time per test,Time per elem
JKI,1,12,13.1723,16777216,7.85131e-07,7.85131e-07
IKJ,1,12,13.0622,16777216,7.7857e-07,7.7857e-07
IJK,1,12,0.0377603,16777216,2.25069e-09,2.25069e-09
JKI,1,12,8.60158,11863283,7.25059e-07,7.25059e-07
IKJ,1,12,8.91937,11863283,7.51847e-07,7.51847e-07
IJK,1,12,0.0267145,11863283,2.25186e-09,2.25186e-09
JKI,1,12,6.61581,8388607,7.88666e-07,7.88666e-07
IKJ,1,12,6.1672,8388607,7.35188e-07,7.35188e-07
IJK,1,12,0.0188772,8388607,2.25033e-09,2.25033e-09
JKI,2,48,4.45516,5931641,7.51084e-07,1.87771e-07
IKJ,2,48,4.40814,5931641,7.43157e-07,1.85789e-07
IJK,2,48,0.0770406,5931641,1.29881e-08,3.24702e-09
JKI,2,48,3.2863,4194303,7.83515e-07,1.95879e-07
IKJ,2,48,3.29777,4194303,7.86251e-07,1.96563e-07
IJK,2,48,0.0544825,4194303,1.29896e-08,3.24741e-09
JKI,2,48,2.35723,2965820,7.948e-07,1.987e-07
IKJ,2,48,2.33252,2965820,7.86469e-07,1.96617e-07
IJK,2,48,0.0385499,2965820,1.29981e-08,3.24951e-09
JKI,3,108,1.7447,2097151,8.31937e-07,9.24374e-08
IKJ,3,108,1.65601,2097151,7.89648e-07,8.77387e-08
IJK,3,108,0.0848216,2097151,4.04461e-08,4.49401e-09
JKI,3,108,1.12436,1482910,7.58212e-07,8.42458e-08
IKJ,3,108,1.1502,1482910,7.75634e-07,8.61816e-08
IJK,3,108,0.0602027,1482910,4.05977e-08,4.51085e-09
JKI,4,192,1.11199,1048575,1.06048e-06,6.62798e-08
IKJ,4,192,0.992291,1048575,9.46324e-07,5.91452e-08
IJK,4,192,0.101427,1048575,9.67286e-08,6.04554e-09
JKI,5,300,0.842097,741455,1.13574e-06,4.54294e-08
IKJ,5,300,0.770835,741455,1.03962e-06,4.1585e-08
IJK,5,300,0.145279,741455,1.95938e-07,7.8375e-09
JKI,6,432,0.690339,524287,1.31672e-06,3.65755e-08
IKJ,6,432,0.582494,524287,1.11102e-06,3.08617e-08
IJK,6,432,0.175351,524287,3.34455e-07,9.29043e-09
JKI,7,588,0.583295,370727,1.57338e-06,3.21098e-08
IKJ,7,588,0.451309,370727,1.21736e-06,2.48441e-08
IJK,7,588,0.199414,370727,5.379e-07,1.09776e-08
JKI,8,768,0.553504,262143,2.11146e-06,3.29916e-08
IKJ,8,768,0.320168,262143,1.22135e-06,1.90836e-08
IJK,8,768,0.219399,262143,8.36943e-07,1.30772e-08
JKI,10,1200,1.06188,185363,5.72865e-06,5.72865e-08
IKJ,10,1200,0.380902,185363,2.0549e-06,2.0549e-08
IJK,10,1200,0.307556,185363,1.65921e-06,1.65921e-08
JKI,11,1452,0.937449,131071,7.15222e-06,5.91093e-08
IKJ,11,1452,0.31088,131071,2.37185e-06,1.9602e-08
IJK,11,1452,0.295431,131071,2.25398e-06,1.86279e-08
JKI,13,2028,0.962159,92681,1.03814e-05,6.14284e-08
IKJ,13,2028,0.24293,92681,2.62114e-06,1.55097e-08
IJK,13,2028,0.35529,92681,3.83348e-06,2.26833e-08
JKI,16,3072,1.58656,65535,2.42094e-05,9.45679e-08
IKJ,16,3072,0.223276,65535,3.40698e-06,1.33085e-08
IJK,16,3072,0.467718,65535,7.13692e-06,2.78786e-08
JKI,19,4332,1.47228,46340,3.17711e-05,8.80087e-08
IKJ,19,4332,0.16254,46340,3.50755e-06,9.7162e-09
