Algorithm,Size,Total bytes,Time[us],Tests,Num threads
IKJ,2,48,177603,4194304,1
IKJ,2,48,172895,4194304,1
IKJ,2,48,174308,4194304,1
IKJ,2,48,173361,4194304,1
IKJ,2,48,173250,4194304,1
IKJ,2,48,174768,4194304,1
IKJ,2,48,1260571,4194304,2
IKJ,2,48,1316257,4194304,2
IKJ,2,48,1337900,4194304,2
IKJ,2,48,1312619,4194304,2
IKJ,16,3072,726852,131072,1
IKJ,16,3072,731971,131072,1
IKJ,16,3072,727817,131072,1
IKJ,16,3072,726969,131072,1
IKJ,16,3072,732759,131072,1
IKJ,16,3072,725398,131072,1
IKJ,16,3072,728848,131072,1
IKJ,16,3072,363597,131072,4
IKJ,16,3072,361659,131072,4
IKJ,16,3072,305929,131072,4
IKJ,16,3072,368131,131072,4
IKJ,16,3072,328227,131072,4
IKJ,16,3072,330587,131072,4
IKJ,16,3072,338343,131072,4
IKJ,16,3072,364571,131072,4
IKJ,32,12288,711222,16384,1
IKJ,32,12288,715292,16384,1
IKJ,32,12288,711689,16384,1
IKJ,32,12288,712841,16384,1
IKJ,32,12288,713524,16384,1
IKJ,32,12288,713822,16384,1
IKJ,32,12288,386191,16384,4
IKJ,32,12288,280897,16384,4
IKJ,32,12288,245589,16384,4
IKJ,32,12288,252394,16384,4
IKJ,32,12288,254106,16384,4
IKJ,32,12288,257932,16384,4
IKJ,32,12288,232685,16384,4
IKJ,32,12288,227411,16384,4
IKJ,64,49152,720581,2048,1
IKJ,64,49152,708407,2048,1
IKJ,64,49152,704035,2048,1
IKJ,64,49152,709680,2048,1
IKJ,64,49152,716673,2048,1
IKJ,64,49152,703866,2048,1
IKJ,64,49152,706870,2048,1
IKJ,64,49152,219268,2048,4
IKJ,64,49152,210327,2048,4
IKJ,64,49152,205205,2048,4
IKJ,64,49152,208717,2048,4
IKJ,64,49152,199553,2048,4
IKJ,64,49152,189822,2048,4
IKJ,128,196608,729709,256,1
IKJ,128,196608,733893,256,1
IKJ,128,196608,732460,256,1
IKJ,128,196608,736668,256,1
IKJ,128,196608,728826,256,1
IKJ,128,196608,733697,256,1
IKJ,128,196608,203452,256,4
IKJ,128,196608,204900,256,4
IKJ,128,196608,233276,256,4
IKJ,128,196608,204470,256,4
IKJ,128,196608,225029,256,4
IKJ,128,196608,225680,256,4
IKJ,128,196608,208772,256,4
IKJ,256,786432,727601,32,1
IKJ,256,786432,727996,32,1
IKJ,256,786432,729429,32,1
IKJ,256,786432,725945,32,1
IKJ,256,786432,727443,32,1
IKJ,256,786432,726066,32,1
IKJ,256,786432,205136,32,4
IKJ,256,786432,242938,32,4
IKJ,256,786432,225714,32,4
IKJ,256,786432,207962,32,4
IKJ,256,786432,210802,32,4
IKJ,256,786432,223061,32,4
IKJ,256,786432,229702,32,4
IKJ,256,786432,219491,32,4
IKJ,256,786432,226525,32,4
IKJ,256,786432,224980,32,4
JKI,16,3072,766696,131072,1
JKI,16,3072,769726,131072,1
JKI,16,3072,766824,131072,1
JKI,16,3072,767330,131072,1
JKI,16,3072,763465,131072,1
JKI,16,3072,767929,131072,1
JKI,16,3072,4409543,131072,4
JKI,16,3072,4403052,131072,4
JKI,16,3072,4377061,131072,4
JKI,64,49152,823228,2048,1
JKI,64,49152,806128,2048,1
JKI,64,49152,802497,2048,1
JKI,64,49152,804666,2048,1
JKI,64,49152,828454,2048,1
JKI,64,49152,800784,2048,1
JKI,64,49152,1096942,2048,4
JKI,64,49152,1101143,2048,4
JKI,64,49152,1113788,2048,4
JKI,64,49152,1101727,2048,4
JKI,64,49152,1112054,2048,4
JKI,64,49152,1109426,2048,4
JKI,128,196608,961567,256,1
JKI,128,196608,961299,256,1
JKI,128,196608,962012,256,1
JKI,128,196608,965772,256,1
JKI,128,196608,967882,256,1
JKI,128,196608,963285,256,1
JKI,128,196608,887215,256,4
JKI,128,196608,893871,256,4
JKI,128,196608,884738,256,4
JKI,128,196608,895153,256,4
JKI,128,196608,890883,256,4
JKI,128,196608,889878,256,4
JKI,256,786432,1278201,32,1
JKI,256,786432,1276323,32,1
JKI,256,786432,1281237,32,1
JKI,256,786432,1276631,32,1
JKI,256,786432,1279559,32,1
JKI,256,786432,1277844,32,1
JKI,256,786432,443678,32,4
JKI,256,786432,457674,32,4
JKI,256,786432,458669,32,4
JKI,256,786432,444436,32,4
JKI,256,786432,464599,32,4
JKI,256,786432,441655,32,4
