Algorithm,Size,Total bytes,Total time[us],Tests,Time per test,Time per elem
JKI,1,12,0.0466454,16777216,2.78028e-09,2.78028e-09,
IKJ,1,12,0.0743046,16777216,4.4289e-09,4.4289e-09,
IJK,1,12,0.0945574,16777216,5.63606e-09,5.63606e-09,
JKI,2,48,0.103245,5931641,1.74058e-08,4.35145e-09,
IKJ,2,48,0.111093,5931641,1.87288e-08,4.6822e-09,
IJK,2,48,0.0947122,5931641,1.59673e-08,3.99182e-09,
JKI,2,48,0.0732841,4194303,1.74723e-08,4.36807e-09,
IKJ,2,48,0.0783024,4194303,1.86688e-08,4.66719e-09,
IJK,2,48,0.0669098,4194303,1.59525e-08,3.98813e-09,
JKI,2,48,0.0511755,2965820,1.72551e-08,4.31377e-09,
IKJ,2,48,0.055011,2965820,1.85483e-08,4.63708e-09,
IJK,2,48,0.0473178,2965820,1.59544e-08,3.98859e-09,
JKI,3,108,0.12161,2097151,5.79882e-08,6.44313e-09,
IKJ,3,108,0.123121,2097151,5.87089e-08,6.52321e-09,
IJK,3,108,0.0817439,2097151,3.89785e-08,4.33095e-09,
JKI,3,108,0.0872589,1482910,5.8843e-08,6.53811e-09,
IKJ,3,108,0.0879831,1482910,5.93314e-08,6.59237e-09,
IJK,3,108,0.0569273,1482910,3.83889e-08,4.26544e-09,
JKI,4,192,0.144015,1048575,1.37343e-07,8.58394e-09,
IKJ,4,192,0.144045,1048575,1.37372e-07,8.58576e-09,
IJK,4,192,0.0876715,1048575,8.36102e-08,5.22563e-09,
JKI,5,300,0.201442,741455,2.71685e-07,1.08674e-08,
IKJ,5,300,0.200016,741455,2.69762e-07,1.07905e-08,
IJK,5,300,0.117169,741455,1.58025e-07,6.32102e-09,
JKI,6,432,0.246686,524287,4.70518e-07,1.30699e-08,
IKJ,6,432,0.244143,524287,4.65667e-07,1.29352e-08,
IJK,6,432,0.143641,524287,2.73974e-07,7.61039e-09,
JKI,7,588,0.27385,370727,7.38684e-07,1.50752e-08,
IKJ,7,588,0.273481,370727,7.37688e-07,1.50549e-08,
IJK,7,588,0.154245,370727,4.16062e-07,8.49105e-09,
JKI,8,768,0.0979368,262143,3.73601e-07,5.83751e-09,
IKJ,8,768,0.102465,262143,3.90875e-07,6.10742e-09,
IJK,8,768,0.101944,262143,3.88887e-07,6.07636e-09,
JKI,10,1200,0.142729,185363,7.69999e-07,7.69999e-09,
IKJ,10,1200,0.142393,185363,7.68185e-07,7.68185e-09,
IJK,10,1200,0.145084,185363,7.827e-07,7.827e-09,
JKI,11,1452,0.125696,131071,9.58995e-07,7.92558e-09,
IKJ,11,1452,0.122255,131071,9.32742e-07,7.70861e-09,
IJK,11,1452,0.131797,131071,1.00554e-06,8.31023e-09,
JKI,13,2028,0.141856,92681,1.53058e-06,9.05669e-09,
IKJ,13,2028,0.172012,92681,1.85596e-06,1.0982e-08,
IJK,13,2028,0.154163,92681,1.66337e-06,9.84243e-09,
JKI,16,3072,0.18246,65535,2.78416e-06,1.08756e-08,
IKJ,16,3072,0.16581,65535,2.53011e-06,9.88322e-09,
IJK,16,3072,0.181655,65535,2.77187e-06,1.08276e-08,
JKI,19,4332,0.212151,46340,4.57814e-06,1.26818e-08,
IKJ,19,4332,0.187901,46340,4.05484e-06,1.12323e-08,
IJK,19,4332,0.212182,46340,4.57881e-06,1.26837e-08,
JKI,23,6348,0.256634,32767,7.83208e-06,1.48054e-08,
IKJ,23,6348,0.228394,32767,6.97024e-06,1.31763e-08,
IJK,23,6348,0.278026,32767,8.48493e-06,1.60396e-08,
JKI,27,8748,0.290536,23170,1.25393e-05,1.72007e-08,
IKJ,27,8748,0.357178,23170,1.54155e-05,2.11461e-08,
IJK,27,8748,0.317541,23170,1.37048e-05,1.87995e-08,
JKI,32,12288,0.341601,16383,2.0851e-05,2.03623e-08,
IKJ,32,12288,0.301609,16383,1.84099e-05,1.79784e-08,
IJK,32,12288,0.425347,16383,2.59627e-05,2.53542e-08,
JKI,38,17328,0.400485,11585,3.45693e-05,2.39399e-08,
IKJ,38,17328,0.429153,11585,3.70438e-05,2.56536e-08,
IJK,38,17328,0.459085,11585,3.96275e-05,2.74429e-08,
JKI,45,24300,0.460804,8191,5.62574e-05,2.77814e-08,
IKJ,45,24300,0.479275,8191,5.85124e-05,2.8895e-08,
IJK,45,24300,0.548523,8191,6.69666e-05,3.30699e-08,
JKI,54,34992,0.561763,5792,9.69895e-05,3.32612e-08,
IKJ,54,34992,0.600357,5792,0.000103653,3.55463e-08,
IJK,54,34992,0.667483,5792,0.000115242,3.95207e-08,
JKI,64,49152,0.673742,4095,0.000164528,4.0168e-08,
IKJ,64,49152,0.640876,4095,0.000156502,3.82085e-08,
IJK,64,49152,0.8657,4095,0.000211404,5.16123e-08,
JKI,76,69312,0.896072,2896,0.000309417,5.35694e-08,
IKJ,76,69312,0.740386,2896,0.000255658,4.42622e-08,
IJK,76,69312,1.04441,2896,0.000360639,6.24374e-08,
JKI,91,99372,0.944289,2047,0.000461304,5.57063e-08,
IKJ,91,99372,0.869883,2047,0.000424955,5.13169e-08,
IJK,91,99372,1.34477,2047,0.000656945,7.93315e-08,
JKI,108,139968,1.1947,1448,0.000825067,7.07362e-08,
IKJ,108,139968,1.00132,1448,0.000691516,5.92864e-08,
IJK,108,139968,1.58679,1448,0.00109585,9.39512e-08,
JKI,128,196608,4.27024,1023,0.00417423,2.54775e-07,
IKJ,128,196608,1.18232,1023,0.00115574,7.05407e-08,
IJK,128,196608,1.9756,1023,0.00193118,1.1787e-07,
JKI,152,277248,1.64446,724,0.00227136,9.83101e-08,
IKJ,152,277248,1.35017,724,0.00186488,8.07169e-08,
IJK,152,277248,2.27626,724,0.00314401,1.36081e-07,
JKI,181,393132,1.93063,511,0.00377814,1.15324e-07,
IKJ,181,393132,1.5919,511,0.00311527,9.50908e-08,
IJK,181,393132,2.78256,511,0.00544532,1.66213e-07,
JKI,215,554700,2.58813,362,0.00714954,1.54668e-07,
IKJ,215,554700,1.84601,362,0.00509948,1.10319e-07,
IJK,215,554700,3.31978,362,0.00917067,1.98392e-07,
JKI,256,786432,11.8,255,0.0462745,7.06093e-07,
IKJ,256,786432,2.18778,255,0.00857951,1.30913e-07,
IJK,256,786432,4.66413,255,0.0182907,2.79094e-07,
JKI,304,1108992,5.1687,181,0.0285564,3.08998e-07,
IKJ,304,1108992,2.57762,181,0.014241,1.54096e-07,
IJK,304,1108992,4.82586,181,0.0266622,2.88502e-07,
JKI,362,1572528,6.09821,127,0.0480174,3.66422e-07,
IKJ,362,1572528,3.01472,127,0.023738,1.81145e-07,
IJK,362,1572528,5.73297,127,0.0451415,3.44476e-07,
JKI,431,2229132,7.87839,90,0.0875377,4.71238e-07,
IKJ,431,2229132,3.58838,90,0.0398709,2.14636e-07,
IJK,431,2229132,6.90277,90,0.0766975,4.12883e-07,
JKI,512,3145728,34.7452,63,0.551511,2.10385e-06,
IKJ,512,3145728,4.18551,63,0.0664367,2.53436e-07,
IJK,512,3145728,14.0432,63,0.222908,8.50327e-07,
JKI,609,4450572,10.9339,45,0.242975,6.55129e-07,
IKJ,609,4450572,5.01314,45,0.111403,3.00374e-07,
IJK,609,4450572,9.75532,45,0.216785,5.84513e-07,
JKI,724,6290112,12.0498,31,0.388704,7.41553e-07,
IKJ,724,6290112,5.76204,31,0.185872,3.54599e-07,
IJK,724,6290112,11.3267,31,0.365379,6.97053e-07,
JKI,861,8895852,15.2654,22,0.693883,9.36009e-07,
IKJ,861,8895852,6.85204,22,0.311456,4.20137e-07,
IJK,861,8895852,13.4923,22,0.613287,8.27289e-07,
JKI,1024,12582912,110.836,15,7.38906,7.04675e-06,
IKJ,1024,12582912,7.86436,15,0.52429,5.00002e-07,
IJK,1024,12582912,32.1006,15,2.14004,2.0409e-06,
JKI,1218,17802288,144.1,11,13.1,8.83034e-06,
IKJ,1218,17802288,9.65658,11,0.877871,5.91747e-07,
IJK,1218,17802288,19.1596,11,1.74179,1.17409e-06,
JKI,1448,25160448,158.124,7,22.5891,1.07736e-05,
IKJ,1448,25160448,10.5149,7,1.50213,7.16426e-07,
IJK,1448,25160448,23.8966,7,3.4138,1.62818e-06,
JKI,1722,35583408,200.91,5,40.1821,1.35508e-05,
IKJ,1722,35583408,12.8655,5,2.57311,8.67744e-07,
IJK,1722,35583408,75.5331,5,15.1066,5.09449e-06,
JKI,2048,50331648,366.217,3,122.072,2.91043e-05,
IKJ,2048,50331648,12.8578,3,4.28593,1.02184e-06,
IJK,2048,50331648,146.096,3,48.6987,1.16107e-05,
