Algorithm,Size,Total bytes,Total time[us],Tests,Time per test,Time per elem
JKI,1,12,12.396,16777216,7.3886e-07,7.3886e-07,
IKJ,1,12,14.4472,16777216,8.61118e-07,8.61118e-07,
IJK,1,12,0.0573063,16777216,3.41572e-09,3.41572e-09,
JKI,2,48,5.23909,5931641,8.83245e-07,2.20811e-07,
IKJ,2,48,5.25288,5931641,8.85569e-07,2.21392e-07,
IJK,2,48,0.0696334,5931641,1.17393e-08,2.93483e-09,
JKI,2,48,3.69204,4194303,8.80252e-07,2.20063e-07,
IKJ,2,48,3.69021,4194303,8.79815e-07,2.19954e-07,
IJK,2,48,0.0484173,4194303,1.15436e-08,2.8859e-09,
JKI,2,48,2.6027,2965820,8.77566e-07,2.19392e-07,
IKJ,2,48,2.62462,2965820,8.84957e-07,2.21239e-07,
IJK,2,48,0.0343956,2965820,1.15973e-08,2.89933e-09,
JKI,3,108,1.92954,2097151,9.20078e-07,1.02231e-07,
IKJ,3,108,1.90606,2097151,9.08881e-07,1.00987e-07,
IJK,3,108,0.0747272,2097151,3.56327e-08,3.95919e-09,
JKI,3,108,1.34862,1482910,9.09441e-07,1.01049e-07,
IKJ,3,108,1.34955,1482910,9.10065e-07,1.01118e-07,
IJK,3,108,0.0529992,1482910,3.574e-08,3.97111e-09,
JKI,4,192,1.5725,1048575,1.49965e-06,9.37283e-08,
IKJ,4,192,1.13464,1048575,1.08208e-06,6.763e-08,
IJK,4,192,0.0835079,1048575,7.96394e-08,4.97747e-09,
JKI,5,300,1.19317,741455,1.60923e-06,6.43692e-08,
IKJ,5,300,0.969818,741455,1.30799e-06,5.23197e-08,
IJK,5,300,0.1146,741455,1.54561e-07,6.18244e-09,
JKI,6,432,1.28106,524287,2.44343e-06,6.7873e-08,
IKJ,6,432,0.801281,524287,1.52832e-06,4.24535e-08,
IJK,6,432,0.138113,524287,2.63429e-07,7.31748e-09,
JKI,7,588,1.3574,370727,3.66144e-06,7.47233e-08,
IKJ,7,588,0.625957,370727,1.68846e-06,3.44583e-08,
IJK,7,588,0.157424,370727,4.24636e-07,8.66603e-09,
JKI,8,768,1.24236,262143,4.73925e-06,7.40508e-08,
IKJ,8,768,0.614966,262143,2.34592e-06,3.6655e-08,
IJK,8,768,0.0929639,262143,3.5463e-07,5.5411e-09,
JKI,10,1200,1.25319,185363,6.76072e-06,6.76072e-08,
IKJ,10,1200,0.38611,185363,2.08299e-06,2.08299e-08,
IJK,10,1200,0.130658,185363,7.04875e-07,7.04875e-09,
JKI,11,1452,1.00635,131071,7.67792e-06,6.34539e-08,
IKJ,11,1452,0.264736,131071,2.01979e-06,1.66925e-08,
IJK,11,1452,0.117131,131071,8.93645e-07,7.38549e-09,
JKI,13,2028,1.07695,92681,1.16199e-05,6.87571e-08,
IKJ,13,2028,0.241085,92681,2.60124e-06,1.53919e-08,
IJK,13,2028,0.132533,92681,1.42999e-06,8.46147e-09,
JKI,16,3072,1.58357,65535,2.41637e-05,9.43896e-08,
IKJ,16,3072,0.259429,65535,3.95864e-06,1.54634e-08,
IJK,16,3072,0.167262,65535,2.55225e-06,9.96974e-09,
JKI,19,4332,2.08343,46340,4.49597e-05,1.24542e-07,
IKJ,19,4332,0.295524,46340,6.3773e-06,1.76657e-08,
IJK,19,4332,0.198256,46340,4.27828e-06,1.18512e-08,
JKI,23,6348,3.03996,32767,9.2775e-05,1.75378e-07,
IKJ,23,6348,0.307905,32767,9.39679e-06,1.77633e-08,
IJK,23,6348,0.25615,32767,7.81731e-06,1.47775e-08,
JKI,27,8748,2.47734,23170,0.00010692,1.46667e-07,
IKJ,27,8748,0.284857,23170,1.22942e-05,1.68645e-08,
IJK,27,8748,0.304819,23170,1.31558e-05,1.80463e-08,
JKI,32,12288,2.62335,16383,0.000160127,1.56374e-07,
IKJ,32,12288,0.332902,16383,2.03199e-05,1.98437e-08,
IJK,32,12288,0.427109,16383,2.60703e-05,2.54592e-08,
JKI,38,17328,2.74829,11585,0.000237228,1.64285e-07,
IKJ,38,17328,0.386578,11585,3.33688e-05,2.31086e-08,
IJK,38,17328,0.438642,11585,3.78629e-05,2.62209e-08,
JKI,45,24300,3.13004,8191,0.000382131,1.88707e-07,
IKJ,45,24300,0.416948,8191,5.09032e-05,2.51374e-08,
IJK,45,24300,0.529603,8191,6.46567e-05,3.19292e-08,
JKI,54,34992,3.22469,5792,0.000556748,1.90929e-07,
IKJ,54,34992,0.541611,5792,9.35102e-05,3.2068e-08,
IJK,54,34992,0.656289,5792,0.00011331,3.88579e-08,
JKI,64,49152,2.74698,4095,0.000670814,1.63773e-07,
IKJ,64,49152,0.624766,4095,0.000152568,3.7248e-08,
IJK,64,49152,0.853045,4095,0.000208314,5.08579e-08,
JKI,76,69312,2.74626,2896,0.000948293,1.64178e-07,
IKJ,76,69312,0.733686,2896,0.000253345,4.38616e-08,
IJK,76,69312,1.00674,2896,0.000347632,6.01856e-08,
JKI,91,99372,2.29079,2047,0.0011191,1.3514e-07,
IKJ,91,99372,0.884151,2047,0.000431925,5.21586e-08,
IJK,91,99372,1.33038,2047,0.000649917,7.84829e-08,
JKI,108,139968,2.20618,1448,0.0015236,1.30624e-07,
IKJ,108,139968,1.04702,1448,0.000723078,6.19923e-08,
IJK,108,139968,1.54848,1448,0.00106939,9.16832e-08,
JKI,128,196608,3.4142,1023,0.00333744,2.03701e-07,
IKJ,128,196608,1.2244,1023,0.00119687,7.30511e-08,
IJK,128,196608,1.93168,1023,0.00188825,1.1525e-07,
JKI,152,277248,1.59352,724,0.00220099,9.52647e-08,
IKJ,152,277248,1.4627,724,0.0020203,8.74436e-08,
IJK,152,277248,2.2364,724,0.00308895,1.33698e-07,
JKI,181,393132,1.76746,511,0.00345882,1.05577e-07,
IKJ,181,393132,1.73778,511,0.00340074,1.03804e-07,
IJK,181,393132,2.7554,511,0.00539218,1.64591e-07,
JKI,215,554700,2.0962,362,0.00579062,1.2527e-07,
IKJ,215,554700,2.07082,362,0.00572049,1.23753e-07,
IJK,215,554700,3.28925,362,0.00908633,1.96567e-07,
JKI,256,786432,3.87717,255,0.0152046,2.32003e-07,
IKJ,256,786432,2.46075,255,0.00965001,1.47247e-07,
IJK,256,786432,4.65024,255,0.0182362,2.78263e-07,
JKI,304,1108992,2.95195,181,0.0163091,1.76475e-07,
IKJ,304,1108992,2.89454,181,0.015992,1.73043e-07,
IJK,304,1108992,4.80153,181,0.0265278,2.87047e-07,
JKI,362,1572528,3.45372,127,0.0271947,2.07523e-07,
IKJ,362,1572528,3.42172,127,0.0269427,2.056e-07,
IJK,362,1572528,5.69808,127,0.0448668,3.4238e-07,
JKI,431,2229132,4.08831,90,0.0454257,2.44538e-07,
IKJ,431,2229132,4.07171,90,0.0452412,2.43545e-07,
IJK,431,2229132,6.86911,90,0.0763234,4.10869e-07,
JKI,512,3145728,9.36556,63,0.14866,5.67092e-07,
IKJ,512,3145728,4.76766,63,0.0756771,2.88685e-07,
IJK,512,3145728,13.2423,63,0.210195,8.01832e-07,
JKI,609,4450572,5.71626,45,0.127028,3.42504e-07,
IKJ,609,4450572,5.69906,45,0.126646,3.41473e-07,
IJK,609,4450572,9.70212,45,0.215603,5.81326e-07,
JKI,724,6290112,6.62626,31,0.21375,4.07784e-07,
IKJ,724,6290112,6.60972,31,0.213217,4.06766e-07,
IJK,724,6290112,11.2378,31,0.36251,6.91581e-07,
JKI,861,8895852,7.93763,22,0.360801,4.86701e-07,
IKJ,861,8895852,7.85558,22,0.357072,4.8167e-07,
IJK,861,8895852,13.4315,22,0.610522,8.23559e-07,
JKI,1024,12582912,29.9462,15,1.99641,1.90393e-06,
IKJ,1024,12582912,9.01211,15,0.600808,5.72975e-07,
IJK,1024,12582912,32.0945,15,2.13963,2.04051e-06,
JKI,1218,17802288,37.9122,11,3.44656,2.32322e-06,
IKJ,1218,17802288,11.1238,11,1.01125,6.81654e-07,
IJK,1218,17802288,19.1214,11,1.73831,1.17174e-06,
JKI,1448,25160448,41.4742,7,5.92488,2.82581e-06,
IKJ,1448,25160448,11.9377,7,1.70539,8.13367e-07,
IJK,1448,25160448,23.316,7,3.33085,1.58861e-06,
JKI,1722,35583408,52.4228,5,10.4846,3.53577e-06,
IKJ,1722,35583408,14.3332,5,2.86665,9.66736e-07,
IJK,1722,35583408,74.7063,5,14.9413,5.03873e-06,
JKI,2048,50331648,327.447,3,109.149,2.60232e-05,
IKJ,2048,50331648,14.4477,3,4.81591,1.1482e-06,
IJK,2048,50331648,147.362,3,49.1208,1.17113e-05,
