Algorithm,Size,Total bytes,Total time[us],Tests,Time per test,Time per elem
JKI,1,12,0.296676,8388607,3.53665e-08,3.53665e-08
IKJ,1,12,0.294506,8388607,3.51079e-08,3.51079e-08
JKI,2,48,0.119683,2965820,4.03542e-08,1.00885e-08
IKJ,2,48,0.123917,2965820,4.17818e-08,1.04454e-08
JKI,3,108,0.0792787,1482910,5.34616e-08,5.94018e-09
IKJ,3,108,0.0831207,1482910,5.60524e-08,6.22805e-09
JKI,4,192,0.0772293,1048575,7.36517e-08,4.60323e-09
IKJ,4,192,0.0797455,1048575,7.60513e-08,4.75321e-09
JKI,5,300,0.0857777,741455,1.15688e-07,4.62753e-09
IKJ,5,300,0.087591,741455,1.18134e-07,4.72536e-09
JKI,6,432,0.0849784,524287,1.62084e-07,4.50233e-09
IKJ,6,432,0.0887109,524287,1.69203e-07,4.70008e-09
JKI,7,588,0.0845162,370727,2.27974e-07,4.65254e-09
IKJ,7,588,0.0872892,370727,2.35454e-07,4.80519e-09
JKI,8,768,0.0825882,262143,3.1505e-07,4.92266e-09
IKJ,8,768,0.0852031,262143,3.25025e-07,5.07852e-09
JKI,10,1200,0.104052,185363,5.61341e-07,5.61341e-09
IKJ,10,1200,0.107249,185363,5.78588e-07,5.78588e-09
JKI,11,1452,0.101774,131071,7.76482e-07,6.41721e-09
IKJ,11,1452,0.104257,131071,7.95426e-07,6.57377e-09
JKI,13,2028,0.114228,92681,1.23249e-06,7.29282e-09
IKJ,13,2028,0.115691,92681,1.24827e-06,7.38622e-09
JKI,16,3072,0.143876,65535,2.19541e-06,8.57581e-09
IKJ,16,3072,0.147043,65535,2.24373e-06,8.76459e-09
JKI,19,4332,0.167845,46340,3.62204e-06,1.00333e-08
IKJ,19,4332,0.167513,46340,3.61487e-06,1.00135e-08
JKI,23,6348,0.204208,32767,6.23213e-06,1.1781e-08
IKJ,23,6348,0.206052,32767,6.28841e-06,1.18874e-08
JKI,27,8748,0.232067,23170,1.00159e-05,1.37392e-08
IKJ,27,8748,0.234299,23170,1.01122e-05,1.38713e-08
JKI,32,12288,0.270305,16383,1.64991e-05,1.61124e-08
IKJ,32,12288,0.269774,16383,1.64667e-05,1.60808e-08
JKI,38,17328,0.318913,11585,2.75281e-05,1.90638e-08
IKJ,38,17328,0.319926,11585,2.76156e-05,1.91244e-08
JKI,45,24300,0.368926,8191,4.50404e-05,2.22422e-08
IKJ,45,24300,0.373455,8191,4.55934e-05,2.25153e-08
JKI,54,34992,0.449745,5792,7.76494e-05,2.66287e-08
IKJ,54,34992,0.449342,5792,7.75798e-05,2.66049e-08
JKI,64,49152,0.529965,4095,0.000129418,3.15961e-08
IKJ,64,49152,0.527539,4095,0.000128825,3.14514e-08
JKI,76,69312,0.686574,2896,0.000237076,4.10451e-08
IKJ,76,69312,0.685845,2896,0.000236825,4.10015e-08
JKI,91,99372,0.752545,2047,0.000367633,4.43948e-08
IKJ,91,99372,0.820033,2047,0.000400602,4.83761e-08
JKI,108,139968,0.95601,1448,0.000660228,5.66039e-08
IKJ,108,139968,0.954437,1448,0.000659142,5.65108e-08
JKI,128,196608,4.34667,1023,0.00424895,2.59335e-07
IKJ,128,196608,1.12065,1023,0.00109545,6.68612e-08
JKI,152,277248,1.30586,724,0.00180367,7.80674e-08
IKJ,152,277248,1.3048,724,0.00180221,7.80044e-08
JKI,181,393132,1.56972,511,0.00307186,9.37656e-08
IKJ,181,393132,1.54037,511,0.00301443,9.20127e-08
JKI,215,554700,2.37048,362,0.00654829,1.41661e-07
IKJ,215,554700,1.81238,362,0.00500657,1.08309e-07
JKI,256,786432,11.5295,255,0.0452137,6.89907e-07
IKJ,256,786432,2.19382,255,0.00860321,1.31275e-07
JKI,304,1108992,4.90846,181,0.0271186,2.9344e-07
IKJ,304,1108992,2.52626,181,0.0139572,1.51026e-07
JKI,362,1572528,6.07989,127,0.0478731,3.65321e-07
IKJ,362,1572528,2.97636,127,0.0234359,1.7884e-07
JKI,431,2229132,8.10207,90,0.090023,4.84618e-07
IKJ,431,2229132,3.5612,90,0.0395689,2.1301e-07
JKI,512,3145728,34.9898,63,0.555394,2.11866e-06
IKJ,512,3145728,4.14453,63,0.0657862,2.50955e-07
JKI,609,4450572,10.9427,45,0.243171,6.55659e-07
IKJ,609,4450572,4.98101,45,0.110689,2.98449e-07
JKI,724,6290112,12.0931,31,0.390099,7.44215e-07
IKJ,724,6290112,5.74468,31,0.185312,3.53531e-07
JKI,861,8895852,14.7059,22,0.668451,9.01703e-07
IKJ,861,8895852,6.85106,22,0.311412,4.20077e-07
JKI,1024,12582912,111.968,15,7.46454,7.11874e-06
IKJ,1024,12582912,7.81716,15,0.521144,4.97002e-07
JKI,1218,17802288,145.976,11,13.2705,8.94526e-06
IKJ,1218,17802288,9.72696,11,0.884269,5.9606e-07
JKI,1448,25160448,159.849,7,22.8356,1.08912e-05
IKJ,1448,25160448,10.5686,7,1.5098,7.20084e-07
JKI,1722,35583408,202.951,5,40.5901,1.36884e-05
IKJ,1722,35583408,12.8372,5,2.56743,8.65831e-07
JKI,2048,50331648,389.624,3,129.875,3.09645e-05
IKJ,2048,50331648,12.9179,3,4.30596,1.02662e-06
